"","FBspecies","a","b","Locality"
"230","Diplodus sargus","0.0108","3.166","NE Mediterranean coast, 2001-2003"
"231","Diplodus sargus","0.0084","3.314","Erdek Bay (27°20'- 27°52' E; 40°18'-40°28' N), Sea of Marmara, 2000-2001"
"232","Diplodus sargus","0.0185","3.313","Acquatina, Lecce / 2007-2008"
"233","Diplodus sargus","0.012","3","Candarli Bay, Aegean Sea / 2006 - 2008"
"234","Diplodus sargus","0.0228","2.904","Gulf of Cadiz, 2009-11"
"235","Diplodus sargus","0.014","3.056","Korinthiakos Gulf / 2008-2009"
"236","Diplodus sargus","0.017","3","French Catalan coast / 2007-2010."
"237","Diplodus sargus","0.0205","2.9682","Southern Agean Sea / 2009-2010."
"238","Diplodus sargus","0.0342","2.8079","Iskenderun Bay / 2000-2000"
"239","Diplodus sargus","0.011","3.145","Zakynthos Island / 2013-2017."
"240","Diplodus sargus","0.01","3.121","Gökçeada Island, northern Aegean Sea / 2013-2014."
"241","Diplodus sargus","0.0175","2.921","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"242","Diplodus sargus","0.011","3.165","North Siani/2010-2012"
"243","Diplodus sargus","0.011","3.165","Sinai/2012-2012"
"244","Diplodus vulgaris","0.024","3","Western Sahara, 21-26°N, 0-100 m, 1980-82"
"245","Diplodus vulgaris","0.0455","2.78","1985"
"246","Diplodus vulgaris","0.0244","3.006","Gulf of Lion"
"247","Diplodus vulgaris","0.05026","2.71","South Euboikos Gulf / 1992-1993."
"248","Diplodus vulgaris","0.0128","3.083","South-west coast, 1992-94"
"249","Diplodus vulgaris","0.0167","2.987","South coast, 1994-95"
"250","Diplodus vulgaris","0.01306","3.055","Kyclades, 1997-98"
"251","Diplodus vulgaris","0.0194","2.9298","Kyclades, 1997-98"
"252","Diplodus vulgaris","0.05026","2.71","G. S. Evvoikos, 1992-93"
"253","Diplodus vulgaris","0.0152","2.989","off Algarve coast, 1998-00"
"254","Diplodus vulgaris","0.0142","3.028","East coast, 1995"
"255","Diplodus vulgaris","0.0149","3.0058","Balearic Islands and eastern coast of Iberian Peninsula / 1991-2001."
"256","Diplodus vulgaris","0.0083","3.214","Gökceada Island (northern Aegean Sea), 2004-2057"
"257","Diplodus vulgaris","0.0127","3.077","Gökceada Island (northern Aegean Sea), 2004-2058"
"258","Diplodus vulgaris","0.0858","2.431","Gökceada Island (northern Aegean Sea), 2004-2056"
"259","Diplodus vulgaris","0.0223","2.878","Nazaré to St André, 1997"
"260","Diplodus vulgaris","0.01131","3.17","Arade estuary, central Algarve, 2004-2007"
"261","Diplodus vulgaris","0.01314","3.11","Arade estuary, central Algarve, 2004-2007"
"262","Diplodus vulgaris","0.0033","3.59","Izmir Bay, Central Aegean Sea / 2005 - 2006"
"263","Diplodus vulgaris","0.0046","3.46","Izmir Bay, Central Aegean Sea / 2005 - 2006"
"264","Diplodus vulgaris","0.0038","3.53","Izmir Bay, Central Aegean Sea / 2005 - 2006"
"265","Diplodus vulgaris","0.0145","3.034","Gökova Bay, SE Aegean Sea, 2006"
"266","Diplodus vulgaris","0.0089","3.19","Iskenderun Bay, off Yumurtal?k, Adana, 2008-2009"
"267","Diplodus vulgaris","0.00925","3.1378","Saros Bay, 2005 - 2006"
"268","Diplodus vulgaris","0.0119","3.125","N-NW Aegean Sea / 2001 - 2006"
"269","Diplodus vulgaris","0.01131","3.17","Arade Estuary / 2004 - 2007"
"270","Diplodus vulgaris","0.01314","3.11","Arade Estuary / 2004 - 2007"
"271","Diplodus vulgaris","0.0184","3.094","Izmir Bay, Aegean Sea / 1998-2001"
"272","Diplodus vulgaris","0.0204","3.221","Acquatina, Lecce / 2007-2008"
"273","Diplodus vulgaris","0.0111","3.06","Candarli Bay, Aegean Sea / 2006 - 2008"
"274","Diplodus vulgaris","0.0074","3.219","Gulf of Cadiz / 2009 - 2011"
"275","Diplodus vulgaris","0.00563","3.43","Eastern Ionian Sea / 2008-2010."
"276","Diplodus vulgaris","0.007","3.31","?zmir Bay/2004-2007"
"277","Diplodus vulgaris","0.008","3.198","Homa lagoon / 2009-2010."
"278","Diplodus vulgaris","0.0123","3.07","Korinthiakos Gulf / 2008-2009"
"279","Diplodus vulgaris","0.016","3.01","French Catalan coast / 2007-2010."
